Canción,Artista / Grupo,"Categoría ",Clásicos IBAMI,Complejidad técnica,Dominio de la iglesia,Dominio del equipo,Link,Tipo musical
"Soberano ",Hillsong,"Acción de Gracias, Confesión / Arrepentimiento, Consagración / Entrega",Yes,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=XavMcEtGRE8&si=2Xon1vnMz80cpyvv,Worship contemporáneo
"De tal manera me amo ",Abel Zabala,"Acción de Gracias, Consagración / Entrega",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=bXh0rfByyuU&si=4ZpQ_avjea1wHU9C,Balada congregacional
"Sentado en su trono ",Jesús A. Romero,"Declaración Doctrinal, Exaltación / Gloria",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=2SOMVaUavl4&si=CdwAByAbqIVdFSWA,Balada congregacional
Bajo sus pies (Mas que vencedor),Jesús A. Romero,"Declaración Doctrinal, Gozo / Celebración",No,Intermedia,Conocida,Por practicar,https://music.youtube.com/watch?v=XvSrcunrIFs&si=_hy2gfS65s6AzTwP,Celebración Rítmica
"Jesús El Señor ",Jesús A. Romero,Declaración Doctrinal,Yes,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=PWD2TlW10k0&si=zDItBOi-Nux3iuIU,Balada congregacional
"No es cómo yo ",Jesús A. Romero,"Declaración Doctrinal, Exaltación / Gloria",No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=LZlyuElmhOs&si=xx00cAFKta0HPZ2O,"Balada congregacional, Especial"
"Tal como soy ",Jesús A. Romero,"Clamor / Intercesión, Consagración / Entrega",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=bWmOXIg7j24&si=jrFmJJpVjOAVXZgC,Balada congregacional
"Es por tu gracia ",Jesús A. Romero,"Confesión / Arrepentimiento, Consagración / Entrega",No,Básica,Dominada,Por practicar,https://music.youtube.com/watch?v=p35EDzSIi8w&si=EKTFdL9nPDKXequF,Especial
"Mi corazón te canta ",Jesús A. Romero,Acción de Gracias,No,Básica,Dominada,Montada,https://music.youtube.com/watch?v=GzpGyLQ3ETg&si=lfdjgk5svazUwMe5,"Balada congregacional, Especial"
"Me dice que me ama ",Jesús A. Romero,"Consagración / Entrega, Evangelización / Misión",No,Básica,Dominada,Por practicar,https://music.youtube.com/watch?v=4LJApZZwkkw&si=AANkYfcSaJFRseTK,Especial
"Prefiero a Cristo ",Jesús A. Romero,Consagración / Entrega,No,Intermedia,Conocida,Ensamblada,https://music.youtube.com/watch?v=40U8jhITFNE&si=I7ypWMH4Ke_M_Dc_,Balada congregacional
"Celebraré tu amor ",Jesús A. Romero,Gozo / Celebración,Yes,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=lSn9Y8zNcjg&si=i0n5gNpAIqrlGe-p,Celebración Rítmica
Tú has sido fiel,Jesús A. Romero,Acción de Gracias,No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=9rQOQotNnpc&si=esxRAexTkkixFax4,Balada congregacional
"Es jesús ",Danilo Montero,"Acción de Gracias, Exaltación / Gloria",No,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=Yu_erTjtyj8&si=r4toVCwGwZHChlnC,Celebración Rítmica
"Te deseo ",Majo y Dan,Consagración / Entrega,No,Intermedia,Nueva,Por entrar,https://music.youtube.com/watch?v=gXKhpujngHU&si=KnvI9JIORN9f1rqG,Worship contemporáneo
"Amor Inagotable ",Marco Barrientos,"Confesión / Arrepentimiento, Consagración / Entrega",Yes,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=LO8QXLMTdxo&si=M5zgOtb4d6dP8nP1,Worship contemporáneo
"A ti sea la gloria ",Marcela Gándara,"Acción de Gracias, Consagración / Entrega",No,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=NMb7zQudh5w&si=sMbV1i2MUTDvDUbl,Balada congregacional
"Mi roca ",Hillsong,"Consagración / Entrega, Declaración Doctrinal",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=LFPErWrYZCU&si=jLehLMgnDijmQbSA,Worship contemporáneo
Glorioso,,,No,,,,,
"Bienvenido Espíritu Santo ",Miel San Marcos,Exaltación / Gloria,Yes,Intermedia,Nueva,Por entrar,https://music.youtube.com/watch?v=8FNTUOSi-YE&si=XSH3dLg5_6GI9ZSE,Celebración Rítmica
"Pan de vida ",Jesús A. Romero,"Declaración Doctrinal, Evangelización / Misión",No,Básica,Conocida,Por practicar,https://music.youtube.com/watch?v=Bdtlo2luEPo&si=T3kH0dUWli0_sJZ5,Balada congregacional
"Salmo 23 ",Un Corazón,"Consagración / Entrega, Declaración Doctrinal",Yes,Intermedia,Conocida,Por practicar,https://music.youtube.com/watch?v=Bdtlo2luEPo&si=T3kH0dUWli0_sJZ5,Worship contemporáneo
"De gloria de gloria ",Marco Barrientos,Gozo / Celebración,No,Intermedia,Dominada,Por practicar,https://music.youtube.com/watch?v=I50l_0ODoB4&si=KRYT3sfVDE2FG_yx,Celebración Rítmica
Alaba a Dios,Danny Berrios,"Clamor / Intercesión, Exaltación / Gloria",No,Básica,Dominada,Montada,,Balada congregacional
"Porque bueno es Dios ",Jaime Murrell,"Acción de Gracias, Exaltación / Gloria",No,Intermedia,Nueva,Por entrar,https://music.youtube.com/watch?v=oIQyarLXb8g&si=QzXCSUWONvk-Gi_w,Celebración Rítmica
Tu hijo soy,Barak,Gozo / Celebración,Yes,Intermedia,Nueva,Por entrar,https://music.youtube.com/watch?v=bDLPPrQSSyk&si=UocUbXzxqf2TAD_X,Worship contemporáneo
"En la cruz ",,,No,,,,,
"En esto creo ",Hillsong,Declaración Doctrinal,Yes,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=pgkPf0gWLFc&si=yG-nwuroQohZXPlU,Worship contemporáneo
